,lat,long,trip_count
652,40.7797,-73.9556,22
653,40.7503,-73.9917,18
654,40.7511,-73.9943,42
655,40.7684,-73.9824,22
656,40.7418,-73.9749,30
657,40.7419,-74.0046,26
658,40.7641,-73.9543,48
659,40.7795,-73.9534,16
660,40.7697,-73.9606,13
661,40.7339,-73.9993,16
662,40.7521,-73.9756,14
663,40.748,-73.9849,18
664,40.7471,-73.9971,20
665,40.7399,-74.0024,18
666,40.647,-73.7898,15
667,40.7502,-73.9918,22
668,40.6446,-73.7824,56
669,40.7698,-73.8638,68
670,40.7625,-73.9681,16
671,40.7481,-73.985,15
672,40.7563,-73.9902,32
673,40.7504,-73.9911,22
674,40.7714,-73.9823,14
675,40.7554,-73.9651,15
676,40.7743,-73.9616,20
677,40.7191,-74.0051,30
678,40.7416,-73.9937,20
679,40.7376,-73.984,14
680,40.7699,-73.8638,42
681,40.7308,-74.0015,19
682,40.7612,-73.9753,22
683,40.7809,-73.9813,22
684,40.7793,-73.9554,13
685,40.7451,-74.0024,14
686,40.769,-73.982,16
687,40.7427,-74.0003,14
688,40.7839,-73.9546,13
689,40.7497,-73.9912,28
690,40.751,-74.0057,14
691,40.7309,-74.0014,18
692,40.7362,-73.9977,15
693,40.7478,-74.004,15
694,40.7938,-73.9669,26
695,40.7251,-73.9871,13
696,40.7332,-74.0031,15
697,40.7385,-73.9877,18
698,40.7433,-73.9843,13
699,40.7349,-73.9987,20
700,40.7404,-73.9863,15
701,40.7915,-73.9686,14
702,40.7829,-73.9553,15
703,40.7713,-73.9823,17
704,40.743,-73.974,16
705,40.7316,-74.001,20
706,40.783,-73.9784,18
707,40.7697,-73.9547,18
708,40.7679,-73.9621,15
709,40.7379,-73.9881,15
710,40.7498,-73.9917,31
711,40.772,-73.9589,16
712,40.7869,-73.9756,14
713,40.7204,-74.0052,15
714,40.7638,-73.9734,22
715,40.7844,-73.9775,13
716,40.7743,-73.9513,14
717,40.7738,-73.8708,146
718,40.7639,-73.9734,14
719,40.7396,-74.0023,14
720,40.7569,-73.9898,23
721,40.7347,-73.9861,17
722,40.7421,-73.9747,35
723,40.7397,-73.9908,16
724,40.7761,-73.9762,29
725,40.6486,-73.784,13
726,40.7641,-73.9772,13
727,40.7646,-73.9665,13
728,40.756,-73.9905,32
729,40.7568,-73.9899,32
730,40.7483,-73.9783,15
731,40.7354,-74.006,15
732,40.7716,-73.9591,15
733,40.7692,-73.955,18
734,40.7505,-73.9948,14
735,40.7748,-73.9509,13
736,40.7696,-73.9607,13
737,40.6486,-73.7841,15
738,40.7441,-73.9993,19
739,40.7215,-73.9891,20
740,40.7286,-74.0028,20
741,40.7439,-73.9795,13
742,40.7228,-74.0051,18
743,40.7656,-73.9547,18
744,40.7525,-73.9933,15
745,40.7558,-73.9946,13
746,40.6487,-73.7837,33
747,40.7114,-74.0159,22
748,40.7311,-73.9827,20
749,40.7217,-73.9889,14
750,40.7867,-73.9684,14
751,40.7637,-73.9735,17
752,40.72,-74.0086,18
753,40.7762,-73.958,14
754,40.7363,-73.9893,16
755,40.7737,-73.9518,14
756,40.7709,-73.9538,19
757,40.7741,-73.9812,14
758,40.7739,-73.8731,28
759,40.746,-73.9942,25
760,40.7606,-73.9612,16
761,40.7722,-73.9528,21
762,40.7659,-73.9634,14
763,40.7435,-73.9923,17
764,40.7452,-73.9982,15
765,40.7708,-73.9509,15
766,40.7736,-73.8708,64
767,40.7343,-74.0062,21
768,40.7368,-73.9887,13
769,40.7751,-73.9537,14
770,40.7371,-73.9815,15
771,40.7496,-73.9879,23
772,40.7614,-73.9867,16
773,40.7773,-73.9789,25
774,40.7409,-73.9816,15
775,40.7465,-73.9939,13
776,40.7916,-73.9648,14
777,40.7617,-73.994,17
778,40.7353,-73.9983,13
779,40.7821,-73.956,16
780,40.7376,-73.9966,18
781,40.6416,-73.788,16
782,40.7465,-73.9976,14
783,40.7286,-73.9845,14
784,40.7712,-73.9616,18
785,40.7567,-73.9898,17
786,40.7498,-73.9915,43
787,40.751,-73.994,41
788,40.7207,-74.01,20
789,40.7642,-73.969,18
790,40.7644,-73.9689,14
791,40.7395,-73.987,16
792,40.7628,-73.9596,14
793,40.7296,-74.0023,20
794,40.7516,-73.9939,14
795,40.7447,-73.9852,16
796,40.7685,-73.9823,19
797,40.7318,-73.9902,14
798,40.7503,-73.9948,24
799,40.7584,-73.966,13
800,40.7316,-73.9824,19
801,40.7226,-73.997,15
802,40.7659,-73.9635,13
803,40.7662,-73.9695,13
