,lat,long,taxi_type,trip_count
579,40.77,-73.9515,y,22
580,40.7427,-73.9967,y,22
581,40.7684,-73.9824,y,22
582,40.7402,-74.0058,y,22
583,40.7845,-73.952,y,22
584,40.7729,-73.9583,y,22
585,40.7808,-73.9815,y,22
586,40.7404,-74.0058,y,22
587,40.7408,-73.9859,y,22
588,40.7715,-73.9564,y,22
589,40.7648,-73.9663,y,22
590,40.7628,-73.9679,y,22
591,40.7219,-74.0042,y,22
592,40.7737,-73.9599,y,22
593,40.7698,-73.8632,y,22
594,40.7824,-73.9485,y,22
595,40.7695,-73.8638,y,22
596,40.7389,-74.0081,y,22
597,40.7606,-74.0027,y,22
598,40.7361,-73.9977,y,22
599,40.7504,-73.9911,y,22
600,40.7225,-73.9971,y,22
601,40.7752,-73.9538,y,22
602,40.7595,-73.9651,y,22
603,40.7525,-73.9782,y,22
604,40.7502,-73.9918,y,22
605,40.77,-73.8638,y,22
606,40.8477,-73.9135,y,22
607,40.7312,-73.9826,y,22
608,40.7795,-73.9555,y,22
609,40.7761,-73.9761,y,22
610,40.7114,-74.0159,y,22
611,40.7499,-73.9919,y,22
612,40.718,-73.9576,g,21
613,40.7177,-73.9578,g,21
614,40.7453,-73.9035,g,21
615,40.6685,-73.9801,g,21
616,40.7214,-73.8442,g,21
617,40.7595,-73.8305,g,21
618,40.7865,-73.9528,y,21
619,40.7504,-73.9912,y,21
620,40.757,-73.9899,y,21
621,40.7526,-73.9784,y,21
622,40.7615,-73.9751,y,21
623,40.7822,-73.9716,y,21
624,40.7331,-73.9873,y,21
625,40.7514,-73.9942,y,21
626,40.7492,-73.9921,y,21
627,40.7508,-73.9944,y,21
628,40.7645,-73.9771,y,21
629,40.7724,-73.9587,y,21
630,40.645,-73.7769,y,21
631,40.7418,-74.0046,y,21
632,40.7502,-73.9946,y,21
633,40.7305,-73.9805,y,21
634,40.7318,-74.0009,y,21
635,40.7418,-74.0048,y,21
636,40.7565,-73.9901,y,21
637,40.7795,-73.9556,y,21
638,40.7343,-74.0062,y,21
639,40.7512,-73.9939,y,21
640,40.7368,-74.0056,y,21
641,40.7333,-74.0063,y,21
642,40.7347,-73.9988,y,21
643,40.7497,-73.9917,y,21
644,40.7759,-73.9762,y,21
645,40.6415,-73.788,y,21
646,40.7307,-74.0017,y,21
647,40.7419,-73.9749,y,21
648,40.7439,-73.9837,y,21
649,40.7642,-73.9885,y,21
650,40.7743,-73.8728,y,21
651,40.7425,-74.0042,y,21
652,40.7612,-73.94,y,21
653,40.7722,-73.9499,y,21
654,40.7502,-74.0025,y,21
655,40.7436,-73.9923,y,21
656,40.7807,-73.9815,y,21
657,40.7278,-73.9911,y,21
658,40.7221,-73.9971,y,21
659,40.7319,-74.0009,y,21
660,40.7641,-73.9544,y,21
661,40.7426,-73.9847,y,21
662,40.6438,-73.7899,y,21
663,40.7689,-73.8629,y,21
664,40.7365,-73.989,y,21
665,40.7795,-73.9554,y,21
666,40.7521,-73.9783,y,21
667,40.7685,-73.9822,y,21
668,40.7324,-74.0005,y,21
669,40.7722,-73.9528,y,21
670,40.7318,-73.9822,y,21
671,40.6446,-73.7825,y,21
672,40.7693,-73.952,y,21
673,40.7346,-73.9988,y,21
674,40.7524,-73.9752,y,21
675,40.7827,-73.9555,y,21
676,40.7645,-73.9583,y,21
677,40.7234,-74.008,y,21
678,40.7383,-73.9877,y,21
679,40.7645,-73.9584,y,21
680,40.7937,-73.9669,y,21
681,40.7569,-73.9902,y,21
682,40.7606,-73.9611,y,21
683,40.7452,-73.9985,y,21
684,40.7641,-73.9732,y,21
685,40.6487,-73.7838,y,21
686,40.7402,-73.9821,y,21
687,40.7252,-73.9951,y,21
688,40.7567,-73.9902,y,21
689,40.7522,-73.9781,y,21
690,40.75,-73.9911,y,21
691,40.7224,-73.9971,y,21
692,40.7423,-73.9821,y,21
693,40.7568,-73.9901,y,21
694,40.7622,-73.96,y,21
695,40.6437,-73.7897,y,21
696,40.756,-73.9902,y,21
697,40.79,-73.966,y,21
698,40.647,-73.7899,y,21
699,40.6445,-73.7821,y,21
700,40.7446,-73.976,y,21
701,40.7454,-73.9034,g,20
702,40.7467,-73.8915,g,20
703,40.6896,-73.9925,g,20
704,40.8054,-73.9393,g,20
705,40.7666,-73.9215,g,20
706,40.7395,-74.0081,y,20
707,40.7114,-74.016,y,20
708,40.7346,-73.9863,y,20
709,40.7258,-73.9947,y,20
710,40.7738,-73.8707,y,20
711,40.7683,-73.982,y,20
712,40.7341,-73.9899,y,20
713,40.763,-73.9677,y,20
714,40.6469,-73.79,y,20
715,40.7492,-73.9923,y,20
716,40.7023,-74.0128,y,20
717,40.7504,-73.9915,y,20
718,40.647,-73.7897,y,20
719,40.7416,-73.9937,y,20
720,40.7315,-74.0066,y,20
721,40.7317,-74.001,y,20
722,40.7544,-73.9657,y,20
723,40.7682,-73.9823,y,20
724,40.7502,-73.9945,y,20
725,40.7777,-73.952,y,20
726,40.7567,-73.9897,y,20
727,40.7617,-73.9685,y,20
728,40.6437,-73.7899,y,20
729,40.7642,-73.9542,y,20
730,40.7775,-73.9788,y,20
731,40.7672,-73.9624,y,20
732,40.7345,-73.9989,y,20
733,40.7656,-73.9548,y,20
734,40.7504,-73.991,y,20
735,40.7404,-73.9947,y,20
736,40.7335,-74.0063,y,20
737,40.7295,-74.0023,y,20
738,40.7649,-73.9704,y,20
739,40.7677,-73.9621,y,20
740,40.7795,-73.9535,y,20
741,40.7403,-73.9862,y,20
742,40.7696,-73.8639,y,20
743,40.7835,-73.9477,y,20
744,40.7209,-74.0101,y,20
745,40.7732,-73.9782,y,20
746,40.6849,-73.8216,y,20
747,40.7621,-73.966,y,20
748,40.7604,-74.0028,y,20
749,40.7683,-73.9822,y,20
750,40.772,-73.9821,y,20
751,40.7422,-73.9934,y,20
752,40.7485,-73.9889,y,20
753,40.7366,-73.9888,y,20
754,40.7304,-74.0068,y,20
755,40.7509,-74.0055,y,20
756,40.6452,-73.7766,y,20
757,40.7571,-73.9902,y,20
758,40.7211,-73.9936,y,20
759,40.7491,-73.9923,y,20
760,40.7706,-73.9571,y,20
761,40.7296,-74.0023,y,20
762,40.7349,-73.9987,y,20
763,40.7631,-73.9739,y,20
764,40.74,-74.006,y,20
765,40.7411,-74.0015,y,20
766,40.7511,-73.9939,y,20
767,40.7286,-74.0028,y,20
768,40.7742,-73.9616,y,20
769,40.7316,-74.001,y,20
770,40.7752,-73.9634,y,20
771,40.7421,-73.9748,y,20
772,40.7112,-74.0159,y,20
773,40.7412,-73.9814,y,20
774,40.7629,-73.9596,y,20
775,40.7954,-73.9658,y,20
776,40.7198,-74.0086,y,20
777,40.7471,-73.9971,y,20
778,40.7421,-73.9746,y,20
779,40.6415,-73.7882,y,20
780,40.8455,-73.9437,y,20
781,40.7286,-74.0027,y,20
782,40.721,-74.0101,y,20
783,40.7592,-73.9654,y,20
784,40.728,-73.985,y,20
785,40.7718,-73.9591,y,20
786,40.6437,-73.79,y,20
787,40.7698,-73.864,y,20
788,40.7743,-73.9616,y,20
789,40.7426,-74.0042,y,20
790,40.7801,-73.9552,y,20
791,40.7359,-73.9852,y,20
792,40.7796,-73.9557,y,20
793,40.7625,-73.9682,y,20
794,40.7826,-73.9533,y,20
795,40.7319,-73.9821,y,20
796,40.7379,-73.9964,y,20
797,40.7399,-73.9949,y,20
798,40.7207,-74.01,y,20
799,40.7637,-73.9734,y,20
800,40.7771,-73.9637,y,20
801,40.7215,-73.9891,y,20
802,40.7311,-73.9827,y,20
803,40.7328,-73.8638,g,19
804,40.7594,-73.8304,g,19
805,40.7907,-73.9537,g,19
806,40.7596,-73.8304,g,19
807,40.7566,-73.99,y,19
808,40.7336,-74.0063,y,19
809,40.7387,-73.9958,y,19
810,40.7949,-73.9661,y,19
811,40.6461,-73.7769,y,19
812,40.7644,-73.9709,y,19
813,40.7523,-73.9755,y,19
814,40.7695,-73.8636,y,19
815,40.7481,-73.9849,y,19
816,40.7844,-73.9774,y,19
817,40.7426,-73.993,y,19
818,40.7584,-73.971,y,19
819,40.7645,-73.9688,y,19
820,40.7445,-73.999,y,19
821,40.7441,-73.9993,y,19
822,40.8044,-73.9667,y,19
823,40.7808,-73.9813,y,19
824,40.7809,-73.9814,y,19
825,40.7403,-73.9947,y,19
826,40.7935,-73.9672,y,19
827,40.7643,-73.9687,y,19
