,lat,long,trip_count
901,40.7343,-73.999,22
902,40.7692,-73.9549,12
903,40.7152,-74.0159,14
904,40.7383,-74.004,11
905,40.7654,-73.9637,12
906,40.7459,-73.9943,17
907,40.7691,-73.9813,11
908,40.7737,-73.8711,18
909,40.7851,-73.9792,12
910,40.768,-73.956,11
911,40.773,-73.9626,13
912,40.7715,-73.9503,17
913,40.7627,-73.9658,13
914,40.7782,-73.9564,11
915,40.7778,-73.9459,12
916,40.776,-73.9871,11
917,40.7679,-73.9623,12
918,40.7947,-73.9662,11
919,40.7644,-73.9585,11
920,40.7564,-73.9907,33
921,40.763,-73.9677,12
922,40.7586,-73.9859,11
923,40.7713,-73.9595,12
924,40.7498,-73.992,12
925,40.7653,-73.9638,11
926,40.7888,-73.978,12
927,40.7819,-73.9757,22
928,40.7588,-73.9859,11
929,40.7655,-73.9637,13
930,40.772,-73.9501,14
931,40.7566,-73.9901,11
932,40.6448,-73.7817,17
933,40.7463,-73.9798,13
934,40.7802,-73.947,14
935,40.7302,-73.991,13
936,40.7844,-73.952,12
937,40.7803,-73.9593,11
938,40.7739,-73.9547,11
939,40.7616,-73.9939,11
940,40.7443,-73.9918,14
941,40.6453,-73.7766,12
